Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.43
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"18284,1400,0.06,90"
"18294,1400,0.02,100"
"18306,1400,-0.05,83"
"18316,1400,-0.00,100"
"18326,1400,0.04,100"
"18337,1400,0.04,90"
"18348,1400,-0.01,90"
"18359,1400,-0.00,90"
"18369,1400,0.03,100"
"18379,1400,0.00,100"
"18391,1400,-0.00,83"
"18401,1400,-0.01,100"
"18412,1400,-0.03,90"
"18422,1400,-0.03,100"
"18434,1400,-0.01,83"
"18444,1400,-0.01,100"
"18454,1400,0.02,100"
"18465,1400,-0.02,90"
"18476,1400,-0.00,90"
"18487,1400,0.04,90"
"18497,1400,0.04,100"
"18507,1400,0.05,100"
"18519,1400,0.02,83"
"18529,1400,0.00,100"
"18540,1400,0.01,90"
"18550,1400,0.01,100"
"18561,1400,0.01,90"
"18572,1400,0.02,90"
"18582,1400,-0.01,100"
"18593,1400,0.02,90"
"18604,1400,0.03,90"
"18614,1400,-0.01,100"
"18625,1400,-0.03,90"
"18635,1400,-0.02,100"
"18647,1400,0.02,83"
"18657,1400,-0.02,100"
"18667,1400,-0.02,100"
"18678,1400,0.01,90"
"18689,1400,0.03,90"
"18700,1400,0.02,90"
"18710,1400,-0.00,100"
"18720,1400,-0.04,100"
"18732,1400,-0.01,83"
"18742,1400,-0.03,100"
